name,enSector,viSector,icbLevel,isLevel1Custom,marketCap,level1Custom
1777,Gold Mining,Khai thác vàng,4,False,63000000000.0,False
0001,Oil & Gas,Dầu khí,1,True,238857908389589.0,True
2353,Building Materials & Fixtures,Vật liệu xây dựng & Nội thất,4,False,113136821331925.0,False
2773,Marine Transportation,Vận tải Thủy,4,False,91376886737542.0,False
2793,Business Training & Employment Agencies,Đào tạo & Việc làm,4,False,297950040100.0,False
1300,Chemicals,Hóa chất,2,False,228090577721527.0,False
2777,Transportation Services,"Kho bãi, hậu cần và bảo dưỡng",4,False,271527149074975.0,False
1700,Basic Resources,Tài nguyên Cơ bản,2,False,335221269176164.0,False
1733,Forestry,Lâm sản và Chế biến gỗ,4,False,16300074077040.0,False
2799,Waste & Disposal Services,Chất thải & Môi trường,4,False,2327024515250.0,False
2797,Industrial Suppliers,Nhà cung cấp thiết bị,4,False,1756177517600.0,False
1753,Aluminum,Nhôm,4,False,611434640600.0,False
2753,Commercial Vehicles & Trucks,Xe tải & Đóng tàu,4,False,691721621000.0,False
1350,Chemicals,Hóa chất,3,False,228090577721527.0,False
1750,Industrial Metals & Mining,Kim loại,3,False,228077285986936.0,False
2790,Support Services,Tư vấn & Hỗ trợ Kinh doanh,3,False,12760227026374.0,False
1357,Specialty Chemicals,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",4,False,74494861262662.0,False
1757,Steel,Thép và sản phẩm thép,4,False,225067131679136.0,False
2775,Railroads,Đường sắt,4,False,1499608184990.0,False
6570,Mobile Telecommunications,Viễn thông di động,3,False,247068325189908.0,False
3353,Automobiles,Sản xuất ô tô,4,False,31307452171600.0,False
2723,Containers & Packaging,Containers & Đóng gói,4,False,7887359020530.0,False
2795,Financial Administration,Quản lý Tài chính,4,False,0.0,False
2720,General Industrials,Hàng công nghiệp,3,False,9354542952330.0,False
5370,General Retailers,Bán lẻ,3,False,160722226876260.0,False
3747,Toys,Đồ chơi,4,False,284443821300.0,False
5555,Media Agencies,Dịch vụ truyền thông,4,False,1495541768476.0,False
5550,Media,Truyền thông,3,False,20548145988501.0,False
3728,Home Construction,Xây nhà,4,False,0.0,False
6000,Telecommunications,Viễn thông,1,True,296414835413199.0,True
7573,Gas Distribution,Phân phối xăng dầu & khí đốt,4,False,199925119764509.0,False
5700,Travel & Leisure,Du lịch và Giải trí,2,False,340816710241992.0,False
5557,Publishing,"Sách, ấn bản & sản phẩm văn hóa",4,False,4062364660060.0,False
5379,Specialty Retailers,Phân phối hàng chuyên dụng,4,False,157298727979310.0,False
5752,Gambling,Gambling,4,False,0.0,False
5377,Specialized Consumer Services,Dịch vụ tiêu dùng chuyên ngành,4,False,181354171200.0,False
7570,"Gas, Water & Multi-utilities",Nước & Khí đốt,3,False,251796977690280.0,False
4500,Health Care,Y tế,2,False,67743931722899.0,False
5755,Recreational Services,Dịch vụ giải trí,4,False,149466544489800.0,False
3724,Nondurable Household Products,Đồ gia dụng một lần,4,False,4609228235000.0,False
3767,Personal Products,Hàng cá nhân,4,False,24686052938600.0,False
4533,Health Care Providers,Chăm sóc y tế,4,False,4716535663170.0,False
6535,Fixed Line Telecommunications,Viễn thông cố định,4,False,49346510223291.0,False
3720,Household Goods & Home Construction,Hàng gia dụng,3,False,8355839196350.0,False
6575,Mobile Telecommunications,Viễn thông di động,4,False,247068325189908.0,False
5375,Home Improvement Retailers,Phân phối nội thất,4,False,0.0,False
3577,Food Products,Thực phẩm,4,False,531306277381891.0,False
3743,Consumer Electronics,Điện tử tiêu dùng,4,False,422602260000.0,False
4000,Health Care,Dược phẩm và Y tế,1,True,67743931722899.0,True
4535,Medical Equipment,Thiết bị y tế,4,False,946403336739.0,False
5333,Drug Retailers,Phân phối dược phẩm,4,False,0.0,False
OTHER,OTHER,OTHER,4,False,,False
5759,Travel & Tourism,Vận tải hành khách & Du lịch,4,False,7439925727592.0,False
3726,Furnishings,Thiết bị gia dụng,4,False,3206781960750.0,False
5330,Food & Drug Retailers,Phân phối thực phẩm & dược phẩm,3,False,2015250052600.0,False
5500,Media,Truyền thông,2,False,20548145988501.0,False
7575,Multiutilities,Tiện ích khác,4,False,372612200000.0,False
3740,Leisure Goods,Hàng hóa giải trí,3,False,707046081300.0,False
3745,Recreational Products,Sản phẩm nghệ thuật,4,False,0.0,False
4537,Medical Supplies,Dụng cụ y tế,4,False,242563018700.0,False
4570,Pharmaceuticals & Biotechnology,Dược phẩm,3,False,61838429704290.0,False
